nodes,l,seed,a_node,int_samples,page_rank_tests,page_rank_time,page_rank_accuracy,page_rank_top_l_targets,baro_tests,baro_time,baro_accuracy,baro_top_l_targets,smooth_tests,smooth_time,smooth_accuracy,smooth_top_l_targets,mutual_info_tests,mutual_info_time,mutual_info_accuracy,mutual_info_top_l_targets,rcd_tests,rcd_time,rcd_accuracy,rcd_top_l_targets,m_igs_tests,m_igs_time,m_igs_accuracy,m_igs_top_l_targets,rcg_cpdag_tests,rcg_cpdag_time,rcg_cpdag_accuracy,rcg_cpdag_top_l_targets,rcg_dag_tests,rcg_dag_time,rcg_dag_accuracy,rcg_dag_top_l_targets
25,1,85,X10,1000,25,1.9032297134399414,0,['X24'],24,25.28135395050049,1,['X10'],25,130.29340839385986,1,['X10'],25,221.54032516479492,1,['X10'],166,133.81652450561523,1,['X10'],7,2.2814102172851562,0,['X16'],25,2203.4129705429077,1,['X10'],25,2216.902437210083,1,['X10']
25,1,86,X20,1000,25,2.4502010345458984,0,['X24'],24,27.009109497070312,0,['X24'],25,132.77583980560303,1,['X20'],25,225.73803424835205,1,['X20'],309,189.3132791519165,1,['X20'],3,1.320754051208496,1,['X20'],25,1976.9122819900513,1,['X20'],25,2029.4103536605835,1,['X20']
25,1,87,X6,1000,25,2.059260368347168,0,['X23'],24,27.532723426818848,0,['X12'],25,133.33600521087646,0,['X3'],25,216.15246105194092,0,['X3'],443,235.60035705566406,0,['X3'],5,1.808192253112793,0,['dummy_sink'],25,1389.112720489502,0,['X23'],25,1388.067006111145,0,['X23']
25,1,88,X24,1000,25,2.37087345123291,1,['X24'],24,25.886167526245117,0,['X13'],25,122.52101421356201,1,['X24'],25,218.4166488647461,1,['X24'],176,149.038236618042,1,['X24'],3,1.3108768463134766,1,['X24'],25,2141.9903841018677,1,['X24'],25,2199.799777030945,1,['X24']
25,1,89,X19,1000,25,2.2226991653442383,0,['X24'],24,25.63353729248047,0,['X18'],25,132.5286741256714,0,['X5'],25,223.0812931060791,0,['X5'],394,226.79655742645264,0,['X5'],4,1.7091741561889648,0,['dummy_sink'],25,1993.375129699707,0,['X10'],25,1566.2064838409424,0,['X3']
25,1,90,X18,1000,25,1.2129898071289062,0,['X23'],24,17.929712295532227,0,['X12'],25,92.413498878479,0,['X13'],25,144.70359992980957,0,['X13'],290,125.51420307159424,0,['X13'],7,1.5617151260375977,0,['dummy_sink'],25,496.3571367263794,0,['X13'],25,486.38666343688965,0,['X13']
25,1,91,X18,1000,25,1.1277151107788086,0,['X24'],24,17.855804443359375,0,['X16'],25,87.42538356781006,1,['X18'],25,145.76065158843994,1,['X18'],338,130.2596788406372,1,['X18'],5,1.137563705444336,0,['dummy_sink'],25,1332.4734172821045,1,['X18'],25,1338.513090133667,1,['X18']
25,1,92,X10,1000,25,1.1260509490966797,0,['X21'],24,17.125940322875977,0,['X15'],25,85.17878723144531,1,['X10'],25,148.81961250305176,1,['X10'],352,143.38338088989258,1,['X10'],6,1.377375602722168,0,['dummy_sink'],25,1327.7151365280151,1,['X10'],25,1287.6763372421265,1,['X10']
25,1,93,X5,1000,25,2.3152427673339844,0,['X24'],24,26.72182846069336,0,['X22'],25,130.10691165924072,0,['X18'],25,224.0964870452881,0,['X18'],417,236.78463649749756,0,['X2'],4,1.5788211822509766,0,['X18'],25,1857.6414909362793,0,['X4'],25,899.9716491699219,1,['X5']
25,1,94,X18,1000,25,2.140859603881836,0,['X20'],24,27.42702007293701,0,['X24'],25,136.63647174835205,1,['X18'],25,225.56297302246094,1,['X18'],371,218.5022430419922,1,['X18'],4,1.5509405136108398,1,['X18'],25,1474.0227823257446,1,['X18'],25,1181.8361282348633,1,['X18']
25,1,95,X22,1000,25,1.7764768600463867,0,['X24'],24,26.797310829162598,0,['X2'],25,138.26626586914062,1,['X22'],25,227.64555740356445,1,['X22'],312,179.61176300048828,1,['X22'],7,2.3239307403564453,1,['X22'],25,1559.7408227920532,0,['X2'],25,840.580680847168,1,['X22']
25,1,96,X20,1000,25,2.52457332611084,0,['X23'],24,27.016486167907715,0,['X15'],25,136.83465480804443,0,['X6'],25,235.12640953063965,0,['X6'],195,133.2897367477417,0,['X6'],7,2.4538049697875977,0,['dummy_sink'],25,937.3390560150146,0,['X7'],25,716.6745529174805,0,['X13']
25,1,97,X3,1000,25,2.2155113220214844,0,['X24'],24,29.35010051727295,0,['X10'],25,133.87068271636963,1,['X3'],25,214.75486373901367,1,['X3'],345,193.31780242919922,1,['X3'],5,1.7843914031982422,0,['dummy_sink'],25,1335.6672067642212,1,['X3'],25,1035.666748046875,1,['X3']
25,1,98,X10,1000,25,2.0898866653442383,0,['X24'],24,26.582887649536133,0,['X7'],25,142.76976013183594,1,['X10'],25,222.9648380279541,1,['X10'],284,186.02181243896484,1,['X10'],6,2.076742172241211,1,['X10'],25,1199.9372510910034,1,['X10'],25,1052.7454957962036,1,['X10']
25,1,99,X1,1000,25,1.8272418975830078,0,['X23'],24,26.470932006835938,0,['X17'],25,135.41992378234863,1,['X1'],25,157.0118932723999,1,['X1'],740,259.42808055877686,1,['X1'],3,0.8062257766723633,0,['X17'],25,1152.365156173706,1,['X1'],25,967.9799709320068,1,['X1']
25,1,0,X12,10000,25,1.8656396865844727,0,['X19'],24,29.956955909729004,1,['X12'],25,101.78391933441162,0,['X13'],25,189.38542938232422,0,['X13'],254,146.6598243713379,0,['X13'],8,1.913071632385254,0,['dummy_sink'],25,909.2186317443848,0,['X13'],25,755.5294427871704,0,['X13']
25,1,1,X5,10000,25,2.0421524047851562,0,['X23'],24,41.83998394012451,0,['X23'],25,175.34687519073486,1,['X5'],25,261.77161693573,1,['X5'],370,394.3080186843872,1,['X5'],6,3.3510923385620117,0,['dummy_sink'],25,2487.8653087615967,1,['X5'],25,2363.828984260559,1,['X5']
25,1,2,X8,10000,25,1.9646940231323242,0,['X23'],24,40.71942901611328,0,['X10'],25,175.99179077148438,1,['X8'],25,268.7267875671387,1,['X8'],292,321.01001167297363,1,['X8'],5,2.7308826446533203,1,['X8'],25,2483.690270423889,1,['X8'],25,2384.0945749282837,1,['X8']
25,1,3,X10,10000,25,2.219654083251953,0,['X24'],24,30.177586555480957,0,['X13'],25,101.77784729003906,1,['X10'],25,195.76092624664307,1,['X10'],449,270.44928073883057,1,['X10'],5,2.1736059188842773,0,['X18'],25,2005.333885192871,1,['X10'],25,2181.6431798934937,1,['X10']
25,1,4,X14,10000,25,2.100735664367676,0,['X23'],24,42.09184455871582,0,['X2'],25,174.13066482543945,1,['X14'],25,263.31857109069824,1,['X14'],230,277.7558927536011,1,['X14'],5,3.1279048919677734,1,['X14'],25,2442.3036165237427,1,['X14'],25,2306.6911754608154,1,['X14']
25,1,5,X3,10000,25,2.300351142883301,0,['X23'],24,40.888671875,0,['X15'],25,173.99956798553467,1,['X3'],25,261.67168140411377,1,['X3'],871,715.416826248169,1,['X3'],6,2.3341064453125,0,['X21'],25,2371.561010360718,1,['X3'],25,2328.65385055542,1,['X3']
25,1,6,X10,10000,25,1.8789615631103516,0,['X23'],24,42.66550350189209,0,['X14'],25,173.1023588180542,1,['X10'],25,262.8622579574585,1,['X10'],246,318.6093912124634,1,['X10'],5,3.1363067626953125,0,['X19'],25,1654.7921447753906,1,['X10'],25,1438.0734825134277,1,['X10']
25,1,7,X15,10000,25,1.9741096496582031,0,['X23'],24,44.43984317779541,0,['X2'],25,175.70161533355713,1,['X15'],25,267.05324840545654,1,['X15'],220,261.4753122329712,1,['X15'],5,3.4594602584838867,0,['dummy_sink'],25,2408.111614227295,1,['X15'],25,2185.9709672927856,1,['X15']
25,1,8,X3,10000,25,1.779977798461914,0,['X23'],24,42.01012992858887,0,['X5'],25,175.4066677093506,1,['X3'],25,264.5271158218384,1,['X3'],199,305.84921741485596,1,['X3'],8,4.182241439819336,0,['X4'],25,2430.612524032593,1,['X3'],25,2302.233120918274,1,['X3']
25,1,9,X21,10000,25,2.3889408111572266,0,['X24'],24,40.23190879821777,0,['X12'],25,175.6560764312744,1,['X21'],25,262.4671859741211,1,['X21'],380,405.68307971954346,1,['X21'],4,1.9228477478027344,0,['X18'],25,2471.896607398987,1,['X21'],25,2407.029483795166,1,['X21']
25,1,10,X9,10000,25,1.5587072372436523,0,['X23'],24,40.72185516357422,0,['X6'],25,174.22078609466553,0,['X5'],25,264.17961502075195,0,['X5'],354,416.74369049072266,0,['X5'],8,3.024399757385254,0,['dummy_sink'],25,2281.009566307068,1,['X9'],25,2245.5525913238525,1,['X9']
